Sample_Index,Timestamp,ISO_Time,Elapsed_Seconds,Food_Type,Condition_Label,Temperature_C,Humidity_Pct,Pressure_hPa,VOC_Raw_Ticks,NOx_Raw_Ticks,VOC_Index,NOx_Index

2,2026-09-19 20:51:49,2026-09-19T20:51:49.652892,0.1,tomato,FRESH,29.62,78.42,950.29,31273,20347,0,0
3,2026-09-19 20:51:50,2026-09-19T20:51:50.708118,1.1,tomato,FRESH,29.63,78.43,950.31,31285,20319,0,0
4,2026-09-19 20:51:51,2026-09-19T20:51:51.763164,2.2,tomato,FRESH,29.63,78.44,950.30,31302,20284,0,0
5,2026-09-19 20:51:52,2026-09-19T20:51:52.817498,3.2,tomato,FRESH,29.64,78.44,950.29,31305,20252,0,0
6,2026-09-19 20:51:53,2026-09-19T20:51:53.872821,4.3,tomato,FRESH,29.65,78.45,950.30,31316,20226,0,0
7,2026-09-19 20:51:54,2026-09-19T20:51:54.927614,5.3,tomato,FRESH,29.65,78.45,950.30,31323,20198,0,0
8,2026-09-19 20:51:55,2026-09-19T20:51:55.983023,6.4,tomato,FRESH,29.65,78.42,950.33,31333,20163,0,0
9,2026-09-19 20:51:57,2026-09-19T20:51:57.038661,7.5,tomato,FRESH,29.66,78.39,950.29,31327,20128,0,0
10,2026-09-19 20:51:58,2026-09-19T20:51:58.092510,8.5,tomato,FRESH,29.66,78.36,950.28,31329,20108,0,0
11,2026-09-19 20:51:59,2026-09-19T20:51:59.147639,9.6,tomato,FRESH,29.67,78.30,950.31,31338,20072,0,0
12,2026-09-19 20:52:00,2026-09-19T20:52:00.203141,10.6,tomato,FRESH,29.67,78.25,950.31,31339,20046,0,0
13,2026-09-19 20:52:01,2026-09-19T20:52:01.258085,11.7,tomato,FRESH,29.67,78.21,950.28,31342,20025,0,0
14,2026-09-19 20:52:02,2026-09-19T20:52:02.313119,12.7,tomato,FRESH,29.68,78.16,950.30,31353,19990,0,0
15,2026-09-19 20:52:03,2026-09-19T20:52:03.367618,13.8,tomato,FRESH,29.68,78.15,950.30,31358,19970,0,0
16,2026-09-19 20:52:04,2026-09-19T20:52:04.422546,14.8,tomato,FRESH,29.68,78.14,950.29,31362,19941,0,0
17,2026-09-19 20:52:05,2026-09-19T20:52:05.477679,15.9,tomato,FRESH,29.69,78.14,950.28,31369,19925,0,0
18,2026-09-19 20:52:06,2026-09-19T20:52:06.532813,16.9,tomato,FRESH,29.69,78.13,950.28,31369,19889,0,0
19,2026-09-19 20:52:07,2026-09-19T20:52:07.587672,18.0,tomato,FRESH,29.70,78.09,950.30,31370,19866,1,0
20,2026-09-19 20:52:08,2026-09-19T20:52:08.642716,19.1,tomato,FRESH,29.70,78.07,950.30,31377,19846,1,0
21,2026-09-19 20:52:09,2026-09-19T20:52:09.698237,20.1,tomato,FRESH,29.70,78.05,950.28,31381,19824,1,0
22,2026-09-19 20:52:10,2026-09-19T20:52:10.753281,21.2,tomato,FRESH,29.70,78.03,950.28,31383,19800,3,0
23,2026-09-19 20:52:11,2026-09-19T20:52:11.808316,22.2,tomato,FRESH,29.71,78.01,950.28,31381,19773,5,0
24,2026-09-19 20:52:12,2026-09-19T20:52:12.863255,23.3,tomato,FRESH,29.70,77.97,950.25,31385,19758,8,0
25,2026-09-19 20:52:13,2026-09-19T20:52:13.918328,24.3,tomato,FRESH,29.71,77.96,950.27,31401,19737,11,0
26,2026-09-19 20:52:14,2026-09-19T20:52:14.973184,25.4,tomato,FRESH,29.71,77.92,950.27,31380,19716,15,0
27,2026-09-19 20:52:16,2026-09-19T20:52:16.028115,26.4,tomato,FRESH,29.72,77.89,950.29,31389,19697,18,0
28,2026-09-19 20:52:17,2026-09-19T20:52:17.082846,27.5,tomato,FRESH,29.72,77.88,950.30,31394,19673,22,0
