Sample_Index,Timestamp,ISO_Time,Elapsed_Seconds,Food_Type,Condition_Label,Temperature_C,Humidity_Pct,Pressure_hPa,VOC_Raw_Ticks,NOx_Raw_Ticks,VOC_Index,NOx_Index
1,2026-09-19 21:06:07,2026-09-19T21:06:07.630401,0.4,tomato,ROTTEN,29.56,82.28,950.57,335,0,0,0
2,2026-09-19 21:06:08,2026-09-19T21:06:08.685033,1.4,tomato,ROTTEN,29.58,82.39,950.55,26162,0,0,0
3,2026-09-19 21:06:09,2026-09-19T21:06:09.739806,2.5,tomato,ROTTEN,29.60,82.50,950.57,26558,0,0,0
4,2026-09-19 21:06:10,2026-09-19T21:06:10.795400,3.5,tomato,ROTTEN,29.62,82.62,950.55,26751,0,0,0
5,2026-09-19 21:06:11,2026-09-19T21:06:11.850236,4.6,tomato,ROTTEN,29.64,82.73,950.59,26844,0,0,0
6,2026-09-19 21:06:12,2026-09-19T21:06:12.904848,5.6,tomato,ROTTEN,29.65,82.82,950.57,26902,0,0,0
7,2026-09-19 21:06:13,2026-09-19T21:06:13.960134,6.7,tomato,ROTTEN,29.67,82.92,950.56,26922,0,0,0
8,2026-09-19 21:06:15,2026-09-19T21:06:15.015346,7.7,tomato,ROTTEN,29.68,83.01,950.58,26933,0,0,0
9,2026-09-19 21:06:16,2026-09-19T21:06:16.070153,8.8,tomato,ROTTEN,29.70,83.11,950.55,26956,0,0,0
10,2026-09-19 21:06:17,2026-09-19T21:06:17.124883,9.9,tomato,ROTTEN,29.71,83.23,950.58,26946,0,0,0
11,2026-09-19 21:06:18,2026-09-19T21:06:18.180491,10.9,tomato,ROTTEN,29.73,83.32,950.59,26952,18075,0,0
12,2026-09-19 21:06:19,2026-09-19T21:06:19.235424,12.0,tomato,ROTTEN,29.73,83.43,950.58,26749,17973,0,0
13,2026-09-19 21:06:20,2026-09-19T21:06:20.290472,13.0,tomato,ROTTEN,29.75,83.53,950.58,26627,17912,0,0
14,2026-09-19 21:06:21,2026-09-19T21:06:21.345348,14.1,tomato,ROTTEN,29.75,83.63,950.56,26559,17873,0,0
15,2026-09-19 21:06:22,2026-09-19T21:06:22.400067,15.1,tomato,ROTTEN,29.77,83.74,950.57,26506,17846,0,0
16,2026-09-19 21:06:23,2026-09-19T21:06:23.455691,16.2,tomato,ROTTEN,29.78,83.86,950.58,26471,17815,0,0
17,2026-09-19 21:06:24,2026-09-19T21:06:24.510675,17.2,tomato,ROTTEN,29.79,83.96,950.59,26454,17796,0,0
18,2026-09-19 21:06:25,2026-09-19T21:06:25.565824,18.3,tomato,ROTTEN,29.81,84.06,950.59,26431,17778,0,0
19,2026-09-19 21:06:26,2026-09-19T21:06:26.620569,19.3,tomato,ROTTEN,29.81,84.18,950.56,26407,17760,0,0
20,2026-09-19 21:06:27,2026-09-19T21:06:27.675873,20.4,tomato,ROTTEN,29.82,84.27,950.55,26387,17741,0,0
21,2026-09-19 21:06:28,2026-09-19T21:06:28.730866,21.5,tomato,ROTTEN,29.83,84.40,950.59,26369,17734,0,0
22,2026-09-19 21:06:29,2026-09-19T21:06:29.785439,22.5,tomato,ROTTEN,29.84,84.49,950.57,26362,17720,0,0
23,2026-09-19 21:06:30,2026-09-19T21:06:30.840754,23.6,tomato,ROTTEN,29.85,84.59,950.57,26348,17706,0,0
24,2026-09-19 21:06:31,2026-09-19T21:06:31.895870,24.6,tomato,ROTTEN,29.85,84.69,950.58,26328,17692,0,0
25,2026-09-19 21:06:32,2026-09-19T21:06:32.950717,25.7,tomato,ROTTEN,29.86,84.78,950.56,26316,17682,0,0
26,2026-09-19 21:06:34,2026-09-19T21:06:34.005852,26.7,tomato,ROTTEN,29.86,84.86,950.57,26305,17661,0,0
27,2026-09-19 21:06:35,2026-09-19T21:06:35.060771,27.8,tomato,ROTTEN,29.87,84.97,950.55,26292,17653,0,0
28,2026-09-19 21:06:36,2026-09-19T21:06:36.115621,28.8,tomato,ROTTEN,29.88,85.06,950.56,26277,17643,0,0
29,2026-09-19 21:06:37,2026-09-19T21:06:37.171222,29.9,tomato,ROTTEN,29.89,85.13,950.56,26258,17641,0,0
30,2026-09-19 21:06:38,2026-09-19T21:06:38.225750,31.0,tomato,ROTTEN,29.89,85.21,950.57,26249,17625,0,0
